"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER","OUTSTANDING
INVOICES?","CLOSED
IN HUB?"
"2017","Addison Main Street Sidewalk","2018001145","S351-ADD/IS-1. 00"," TAP-2017(194)DTC ","TA","Webster","$150,000.00","$0.00","","","","Turman","","2/22/19","","","","","","","","",""," No matching funds.  Sponsor not moving forward.   ","Yes","Scoular","",""
"2014","Allegheny Highlands Trail Repair Phase 2","2023420022","S342-ALL/EG-2. 00","NRT-2023(303)D","RT","Randolph","$309,697.15","$0.00","","","Josh Vincent ","NA","","","","","NA","","","","","TBA","100%"," Project Completed ","Yes","Nunnally","",""
"2016","Alum Cave Trail Phase 2","","U301-ALU/M-1. 00","NRT-2015-249-DTC 
NRT-2016-349-D","RT","Barbour","$96,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Hayes","",""
"2016","Anthony Boat Launch","","U313-ANT/HO-1. 00"," NRT-2016-350-D 
 NRT-2016-351-D ","RT","Greenbrier","$28,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Hayes","",""
"2018","Athens Park Trail","","U328-ATH/EN-2. 00","NRT-2018-251-DTC
NRT-2018-252-D","RT","Mercer","$48,126.00","$23,036.83","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Hayes","",""
"2016","Babcock State Park - Babcock to Sewell Trail Restoration","2017000182","U310-BAB/CO-2. 00"," TAP-2015(352)DTC 
TAP-2015(353)DTC ","TA","Fayette","$150,000.00","$0.00","1/23/2018","","Terradon","1/23/2018","7/18/2017","8/16/2018","4/13/2020","","4/14/2020","7/29/2021","5/28/2020","11/09/2020","","N/A",""," Design (including core borings) $73,267.  Construction- $689,675.50.  2016 TA $150,000 Federal and 2016 RTP $37,700.  Construction completed. ","Yes","Osayaba","",""
"2018","Babcock to Sewell - Trail Restoration Project Phase 2","2017000182","U310-BAB/CO-2. 00","TAP-2016(352)DTC 
TAP-2016(353)DTC ","TA","Fayette","$225,000.00","$0.00","1/23/2018","","Terradon","2/16/2018","7/18/2017","8/15/2018","10/16/2018","8/28/2019","4/10/2020","7/29/2021","5/28/2020","11/09/2020","","N/A",""," Reallocated to Phase 1, retaining wall.  Construction complete.   ","Yes","Osayaba","",""
"2017","Barboursville Park Equestrian Trail","","U306-BAR/BO-4. 00"," NRT-2016(367)DTC  
 TAP-2017(165)D ","TA","Cabell","$480,400.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Osayaba","",""
"2016","Barboursville Park Equestrian Trail","","U306-BAR/BO-4. 00","NRT-2016-367-DTC
TAP-2017-165-D","RT","Cabell","$56,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete. ","Yes","Osayaba","",""
"2016","Barrackville Phase 7 Publicwalks","","U325-BAR/AK-1. 00","TAP-2016(305)DTC 
TAP-2016(306)D","TA","Marion","$96,000.00","$0.00","","","","","","","","","","","","","","",""," Construction complete. ","Yes","Hayes","",""
"2017","Bath Streetscape Improvements","","U333-BAT/H-4. 00","TAP-2015(268)DTC 
TAP-2017(188)D ","TA","Morgan","$360,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Oliver","",""
"2021","Bath Streetscape Phase 4B","","U333-BAT/H-4. 00","TAP-2017(188)D","TA","Morgan","$396,997.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Oliver","",""
"2018","Bath/Berkeley Springs Streetscape","","U333-BAT/H-4. 00","TAP-2015(268)DTC
TAP-2017(188)D","TA","Morgan","$380,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Oliver","",""
"2019","Beech Fork State Park Fitness Trail","","U306-BCF/SP-1. 00","NRT-2019(233)D","RT","Cabell","$60,000.00","$0.00","","","","","","","","","","","","","","",""," Construction contract awarded, construction to begin in 2023.  Suppose to pave first of September. District did final inspection.  Needs closed. ","Yes","McClanahan","",""
"2017","Berkeley Springs Train Depot","","U333-BER/KE-1. 00"," TAP-2015(279)DTC
TAP-2018(190)D","TA","Morgan","$230,560.00","$0.00","","","","","","","","","","","","","","",""," Project complete, submitting final inspection report and final invoice.  Final Inspection Report and Invoice submitted.  Can be closed. ","Yes","Oliver","",""
