"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER",""
"2012","Morgantown Walnut Street Streetscape","2013000637","U331-MOR/GA-17. 00","TEA-2012(638)D","TA","Monongalia","$773,609.00","$0.00","NA","","AECOM","","","","","11/01/2022 E","11/01/2022 E","06/28/2021 A","03/06/2024 A","TBA","TBA","TBA","98%"," CN complete contractor working on punch list ","No","Nunnally",""
"2014","Allegheny Highlands Trail Repair Phase 1","2014000619","S342-ALL/EG-1. 00","STP-2014(159)D","RT","Randolph","$396,436.80","$0.00","NA","","D8","","","","","NA","NA","08/24/2022","08/26/2022","09/23/2022","09/23/2022 E","TBA","75%"," complete ","No","Nunnally",""
"2016","Salem Sidewalk Phase I","2017000121","U317-SAL/EM-1. 00"," TAP-2016(323)DTC
TAP-2019(240)D ","TA","Harrison","$50,000.00","$0.00","1/07/2019 A","","Thrasher","","7/25/2017","11/13/2024","11/20/2024","TBA","TBA","TBA","09/30/25","TBA","TBA","TBA","90%"," under construction ","No","Nunnally",""
"2017","Harrison County Connection (Clarksburg Connector)","2018001071","U317-CLA/RK-2. 00","TEA-0Q22(001)E  ","TA","Harrison","$115,200.00","$0.00","","","","","","","","","","","","","","","10%"," PS&E submitted ","No","Nunnally",""
"2018","Caperton Rail-Trail Drainage Upgrades & Repairs","2019000393","U331-CAP/ER-2. 00","NRT-2018-236-DTC
NRT-2018-214-D","RT","Monongalia","$46,400.00","$0.00","9/27/2021","","AECOM","12/8/21","","","","TBA","TBA","TBA","TBA","TBA","TBA","TBA","10%"," awaiting PS&E ","No","Nunnally",""
"2018","Caperton Trail Lighting Project","2019000433","U331-CAP/ER-3. 00","NRT-2018-217-DTC
NRT-2018-218-D","RT","Monongalia","$120,000.00","$0.00","05/17/2022","","AECOM","7/5/2022","","7/15/2024","10/1/2024","TBA","TBA","TBA","TBA","TBA","TBA","TBA","30%"," PS&E awaiting CA submission ","No","Nunnally",""
"2019","Salem Main Street Sidewalk Replacement","2017000121","U317 -SAL/EM-1.00","TAP-2016-(323)DTC","TA","Harrison","$200,000.00","$0.00","","","","","","","","","","","09/30/2025","","","","90%"," under construction ","No","Nunnally",""
"2019","West Washington Street Pedestrian Project","2020001346","U319-BOL/IV-2.00","TAP-2019(219)DTC","TA","Jefferson","$100,000.00","$0.00","9/26/22","","AECOM","11/15/22","12/2/21","5/22/23","6/29/23","10/26/23","10/30/23","10/25/23","2/16/24","TBA","TBA","TBA","10%"," completed ","No","Nunnally",""
"2020","Eleanor Park Sidewalk Extension","2021000738"," U340-ELE/PK-1. 00 "," TAP-2020(229)D ","TA","Putnam","$60,000.00","$0.00","4/3/2023","","Chapman","4/18/23","6/9/22","7/11/23","8/15/23","TBA","TBA","TBA","TBA","TBA","TBA","TBA","75%"," precon held work to start mid July ","No","Nunnally",""
"2020","Parkersburg St. Mary's/Dudley Ave 
Streetscape Enhancement","2021000854"," U354-PAR/KE-11. 00 "," TAP-2020(439)D
TAP-2020(237)D ","TA","Wood","$80,000.00","$0.00","09/21/2022","","AMT","","","8/20/23","8/23/23","5/30/24","5/30/24","12/1/23","TBA","9/12/25","9/12/25","TBA","87%"," CN started 10/15/25 ","No","Nunnally",""
"2020","Salem Sidewalk Project","2017000121","U317- SAL/EM-1. 00"," TAP-2016(323)DTC
TAP-2019(240)D ","TA","Harrison","$200,000.00","$47,885.84","","","","","","","","","","","","","","","90%"," under construction ","No","Nunnally",""
"2020","Morgantown Municipal Airport Streetscape","2021310001"," U331-MOR/GA-21.00 "," TAP-2020 (431) D
TAP-2022(133)D ","TA","Monongalia","$80,000.00","$0.00","08/01/2022","","Baker","08/23/2022","8/5/2021","11/30/2022","","1/26/23","NA","12/12/23","TBA","TBA","TBA","TBA","75%"," under construction ","No","Nunnally",""
"2022","Morgantown Municipal Airport Streetscape","2021310001"," U331-MOR/GA-21. 00 "," TAP-2020 (431) D ","TA","Monongalia","$406,400.00","$0.00","NA","","NA","","","","","NA","NA","12/12/23","TBA","TBA","TBA","TBA","50%"," under construction ","No","Nunnally",""
"2020","Wheeling Robrecht Riverfront Park","2021000852"," U335-  WHE/EL- 18. 00 "," TAP-2020(242)D
TAP-2020(433)D ","TA","Ohio","$192,691.00","$0.00","05/17/2022","","SGA","6/8/2022","2/21/22","4/6/2023","5/9/2023","TBA","TBA","TBA","TBA","TBA","TBA","TBA","60%"," PS&E expected by May 2026 awaiting EPA Grant project completion ","No","Nunnally",""
"2021","Cameron Sidewalk Repair","2022260003"," U326-CAM/ER-1 .00 "," TAP-2021(454)D ","TA","Marshall","$149,892.00","$0.00","3/11/24","","Thrasher","3/25/24","2/15/23","7/31/24","10/10/24","TBA","TBA","TBA","TBA","TBA","TBA","TBA","10%"," PS&E expected by May 2026  ","No","Nunnally",""
"2021","Ronceverte Main Street Sidewalks","20231300021"," U313-RON/CE-1. 00 "," TAP-2017(200)D    ","TA","Greenbrier","$379,200.00","$0.00","9/20/23","","Turman","10/30/23","4/12/23","2/20/24","4/16/24","TBA","TBA","TBA","TBA","TBA","TBA","TBA","30%"," PS&E expected mid-July ","No","Nunnally",""
"2021","WVU Campus Connector Path","20222310009","U331-WVU-1 .00","TAP-2021(465)D","TA","Monongalia","$240,000.00","$0.00","NA","","Kimley Horn","","2/24/23","","","NA","NA","NA","NA","NA","NA","NA","10%"," sponsor restarting 5g process ","No","Nunnally",""
"2022","Bolivar West Washington Street","2020001346","U319- BOL/IV- 2.00","TAP-2019(219)DTC","TA","Jefferson","$600,000.00","$0.00","","","","","","","","","","","","","","","99%"," PFR exected June 2026 ","No","Nunnally",""
"2022","White Sulphur Springs West End Streetscape","2023130023","U313-WHI/TE-4. 00","TAP-2024(124)D
TAP-2024(125)D","TA","Greenbrier","$700,000.00","$0.00","9/3/2024","","Thasher","9/10/24","7/7/23","4/14/25","6/5/25","","","","","","","","10%","PS&E expected Spring 2026 CN agreement needed","No","Nunnally",""
"2023","Davis Streetscape","2024470005","U347-DAVIS-1. 00","TAP-2024(098)D","TA","Tucker","$100,000.00","$0.00","TBA","","Potesta","","","","","","","","","","","","0%"," 80% site visit May 2026 ","No","Nunnally",""
"2023","Deckers Creek Rail Trail Restoration","2024310008","U331-DEC/KE-1.00","TAP-2023(348)D
TAP-2023(349)D","TA","Monongalia","$300,000.00","$0.00","TBA","","","","","","","","","","","","","","0%"," extended project limits portion is being performed by Cynforce to be complete May 2026 ","No","Nunnally",""
"2023","Duffield's Depot Rehabilitation","2024190012","U319-DUF/FI-1.00","TAP-2023(339)D","TA","Jefferson","$66,000.00","$0.00","TBA","","NA","","10/3/2024","","","","","","","","","","0%"," site visit 9/25 and sow meeting held 10/3- Sponsor collecting bids for each type of work- pay as you go agreement needed ","No","Nunnally",""
"2023","Eleanor Park Sidewalk - Phase I","2021000738","U340- ELE/PK-1. 00","TAP-2023(334)D","TA","Putnam","$350,000.00","$0.00","TBA","","Chapman","","","","","","","","","","","","0%","construction to start July 2026","No","Nunnally",""
"2023","Morgantown Municipal Airport Streetscape","2021310001","U331 - MOR/GA- 21.00","TAP-2022(133)D","TA","Monongalia","$945,000.00","$0.00","TBA","","Baker","","","","","","","","","","","","0%"," under construction ","No","Nunnally",""
"2023","Hundred Sidewalk - Phase III","2024520003","U352-HUN/DR-2.00","TAP-2024(103)D","TA","Wetzel","$100,000.00","$0.00","TBA","","Terradon","","5/15/2024","","","","","","","","","","0%"," 90% recieved 10/27/2025 ","No","Nunnally",""
"2023","Parkersburg St. Mary's Avenue - Phase I","2021000854","U354- PAR/KE-11. 00","TAP-2020(237)D","TA","Wood","$850,000.00","$0.00","TBA","","AMT","","","5/8/23","8/21/23","11/30/23","NA","12/1/23","5/22/25","TBA","TBA","TBA","0%","under construction","No","Nunnally",""
"2023","Petersburg River Park Hike and Bike Trail Phase 2","2024120003","U312-PET/ER-2. 00","NRT-2023(344)D","TA","Grant","$162,500.00","$0.00","TBA","","","","","","","","","","","","","","0%"," awaiting precon meeting ","No","Nunnally",""
"2023","Wheeling Heritage Trail Connector","2024350003","U335-HER/IT-1.00","No Federal Funds","SFRTP","Ohio","$40,000.00","$0.00","TBA","","TBA","","","","","","","","","","","","0%"," 5g approval letter needed ","No","Nunnally",""
"2023","Wheeling Robrecht Riverfront Park Pedestrian Improvements","2021000852","U335-WHE/EL-18. 00","TAP-2020(242)D","TA","Ohio","$1,700,000.00","$0.00","TBA","","","","","","","","","","","","","","0%"," PS&E expected by January 2026 awaiting EPA Grant project completion ","No","Nunnally",""
"2023","WVU's West Run Trails Enhancement","2024310021"," U331-WVU-2 .00 "," No Federal Funds ","SFRTP","Monongalia","$375,000.00","$0.00","TBA","","TBA","","","","","","","","","","","","0%"," agreement with sponsor. Significant env work needed to be cleared ","No","Nunnally",""
"2024","Allegheny Highlands Trail Refresh","2025470001","U347-AHT-1. 00","TAP-2024(152)D","TA","Tucker","","","","","","","","","","","","","","","","","0%","Cynforce to perform work spring 2026 SOW work meeting held October 2025","","Nunnally",""
"2024","Davis Downtown Sidewalk Improvement","2024470005","U347-DAVIS-1.00","TAP-2024(098)D
TAP-2024(134)D","TA","Tucker","$500,000.00","$0.00","5/19/2025","","Potesta","7/7/25","9/6/2024","","","","","","","","","","0%","PFR recieved Decemeber. CN agreement processing","","Nunnally",""
"2024","Hundred Sidewalk - Phase III","2024520003","U352-HUN/DR-2.00","TAP-2024(135)D","TA","Wetzel","$425,000.00","$0.00","4/8/2025","","Terradon","4/18/25","8/29/24","5/15/25","7/15/25","","","","","","","","0%"," TC agreement processing for CN PS&E submitted ","","Nunnally",""
"2024","Lewisburg Washington Street Court Street Sidewalk Improvements","2025130010","U313-LEWIS-10.00","TAP-2024(147)D","TA","Greenbrier","$75,000.00","$0.00","","","","","","","","","","","","","","","0%","Sponsor working throught 5g process","","Nunnally",""
"2024","Morgantown Trail Bridge Restoration","2025310003","U331-BRIDE-1.00","TAP-2024(136)D","TA","Monongalia","$100,000.00","$0.00","TBA","","","","","","","","","","","","","","0%","5g approval letter needed","","Nunnally",""
"2024","Petersburg River Park Hike and Bike Trail Phase 3","2024120003","U312-PET/ER-2. 00","TAP-2023(344)D","TA","Grant","$617,542.50","$0.00","","","","","","","","","","","","","","","0%"," awaiting precon meeting ","","Nunnally",""
"2025","Morgantown Trail Bridge Restoration","2025310003","U331-BRIDG-1.00","TAP-2025(173)D","TA","Monongalia","$120,000.00","$0.00","","","","","","","","","","","","","","","","","","",""
"2025","Hundred Rails to Trails Phase 1","2026520013","U352-HUN/TR-1.00","","RT","Wetzel","$120,000.00","$0.00","","","","","","","","","","","","","","","","","","",""
"2025","W Washington Street Bolivar 2","2026190015","U319-BOL/IV-3.00","TAP-2025(169)D","TA","Jefferson","$80,000.00","$0.00","","","","","","","","","","","","","","","","","","",""
"2025","Davis Downtown sidewalk Improvement Phase 3","2026470005","U347-DAVIS-2.00","TAP-2025(517)D
TAP-2025(172)D","TA","Tucker","$576,000.00","$0.00","","","","","","","","","","","","","","","","","","",""
"2025","Petersburg River Hike and Bike Trail Enhancements","2026120005","U312-PETER-3.00","TAP-2025(168)D","TA","Grant","$324,000.00","$0.00","","","","","","","","","","","","","","","","","","",""
"2025","Davis Pedestrian Bridge to Blackwater State Park","2026470006","U347-DAVIS-3.00","TAP-2025(170)D","TA","Tucker","$200,000.00","$0.00","","","","","","","","","","","","","","","","","","",""
"2025","Eleanor Park Sidewalk Extension Phase 2","2026400010","U340-ELEPK-2.00","TAP-2025(167)D","TA","Putnam","$280,000.00","$0.00","","","","","","","","","","","","","","","","","","",""
"2025","New Martinsville Route 2 Sidewalk","2026520012","U352-NEWMA-3.00","TAP-2025(178)D","TA","Wetzel","$125,000.00","$0.00","","","","","","","","","","","","","","",""," awaiting OCC list selection  - possible project name change in hub ","","",""
"2025","Allegheny Highlands Trail Connection","","U342-AHT-1.00","","","","","","","","","","","","","","","","","","","","","awaiting occ list selection","","",""
