"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER","",""
"2022","Mount Hope Sidewalks","2023100019","U310-MTH/OP-3. 00","TAP-2022(136)D
TAP-2022(137)D","TA","Fayette","$300,000.00","$0.00","1/8/26","","ELR","1/16/26","9/21/23","","","","","NDPCE - 10/27/23
PCE - NA","","","","","5%","Sponsor issued NTP for Design phase.  Consultant has started work on project. ","No","Brisendine","",""
"","Oak Hill Virginia Street Sidewalks","2013000677","U310-OAK/HI-5. 03","TEA-2012(580)D
TEA-2012(616)D","TA","Fayette","$80,000.00","$0.00","1/24/23","","THRASHER","2/28/23","11/18/14","10/16/23","3/25/24","6/30/25","","NDPCE - 2/2/23
PCE - 6/6/24","9/9/25
(UPDATED 12/1/25)","","","","10%","Final signatures pending on construction documents, then project to be submitted for construction phase authorization.","No","Brisendine","",""
"","Lewisburg Feamster Road Sidewalks","2014000577","U313-LEW/IS-5. 00","TEA-2014(078)DTC
TEA-2014(132)D","TA","Greenbrier","$588,800.00","$0.00","5/18/15","","CHAPMAN","5/29/15","9/25/14","12/13/22","3/30/23","7/9/25","-","PCE - 10/27/25","9/5/25 (UPDATED 11/17/25)","","","","10%","Project submitted to Contracts for construction phase authorization, advertising, etc.  Project advertised with a letting date of 2/10/26. ","No","Brisendine","",""
"2012","Washington Street W Streetscape  (CURA)","2013000599","U320-CHA/S-2. 02","TEA-2012(630)D
TEA-2012(594)D","TA","Kanawha","$529,668.00","$0.00","9/9/13","","ALPHA","3/31/14","4/2/13","","","","","NDPCE - 9/3/13
PCE - 8/23/22","4/30/24","6/7/24","12/12/24","N/A","35%","Final inspection performed by district office.  Punchlist items developed by district for contractor to return and address/fix when weather permits. Once completed a follow-up final inspection will be scheduled.","No","Brisendine","",""
"2016","West Union Downtown Sidewalk","2017001572","U309-WES/TU-2. 00","  TAP-2017(172)DTC","TA","Doddridge","$32,000.00","$0.00","","","Prev. HDR, then
ALPHA, currently MEAD & HUNT","","","","","","","NDPCE - 11/9/23","","","N/A","N/A","5%","New on-call consultant assigned to project and new scope of work meeting held. Final scope of work notes pending approval by Sponsor and DOH.","No","Brisendine","",""
"","Madison Riverside Drive Sidewalks","2020001401","U303-MAD/IS-3.00","TAP-2019(216)D
TAP-2024(078)D","TA","Boone","$85,000.00","$644,972.00","2/14/23","","BAKER","3/13/23","8/12/22","6/15/23","8/4/23","1/18/24","","NDPCE - 2/2/23
PCE - 4/30/24","3/5/25","","","","5%","Sponsor in financial constraints and does not have matching funds for the construction phase. A revised agreement sent to Sponsor for review/signature.  Toll Credits have been applied to project for the required 20% match. Recd Sponsor signed agreement; in channels for full execution.","No","Brisendine","",""
"2019","Mountwood Park ATV Trail","2022540005","U354- MOU/NT-1. 00"," NRT-2021(461)D
NRT-2021(462)D ","RT","Wood","$120,000.00","$0.00","","","","","","","","","","","","","","","30%"," Sponsor ( Wood County Commission) is using 5G.  FHWA approval of swtiching to non-motorized. Project has Fully Executed agreement and Sponsor to Advertise Mid November 
THIS IS NOT BRISENDINE'S PROJECT. ","No","McClanahan","",""
"2019","Park Avenue and Phipps Avenue Walking Improvements (Danville)","2020001172","U303-DAN/VI-1.00","TAP-2019(300)D","TA","Boone","$100,000.00","$0.00","4/28/23","","MEAD & HUNT","5/25/23","8/26/22","2/6/24","3/22/24","","PROJECT
CANCELLED","3/15/23","NA","","NA","NA","30%","Sponsor submitted a letter of request to cancel the project. DOH approved Sponsor's request. Cancellation letter sent to Sponsor. ","No","Brisendine","",""
"","Athens Sidewalk Project","2021280004"," U328-ATH/EN-3. 00 "," TAP-2020(438)D
TAP-2024(141)D ","TA","Mercer","$37,500.00","$0.00","3/8/23","","MEAD & HUNT","3/8/23","5/5/22","10/25/23","10/25/23","12/1/23","","NDPCE - 6/21/22
PCE - 3/4/24","12/1/23","","N/A","N/A","35%","Project agreements, match, and environmental documents are in place.  The PS&E package is in final review. In-house engineer is reviewing final bid package before submitting the project to Contracts for federal authorization, advertising, etc.","No","Brisendine","",""
"","Buffalo Sidewalk Project","2021000848","  U340-BUF/FA-2. 00 ","  TAP-2020(240)D
TAP-2025(179)D ","TA","Nicholas","$60,000.00","$784,398.00","12/21/23","","ELR","1/12/24","11/29/22","2/25/25","7/1/25","","12/16/25","NDPCE - 12/2/22
PCE 11/12/25","","","","","5%","Final field review meeting held with Sponsor, consulting firm and district engineers. Additional updates are needed on the engineering documents. A follow-up field review to be scheduled in Jan/Feb 2026 when weather and schedules permit. ","No","Brisendine","",""
