"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","DISTRICT","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER"
"2014","Spencer Streetscape","2015000433","U344-SPE/NC-1. 05","TAP-2014(180)D","TA","3","Roane","$200,000.00","$0.00","6/21/2022","City of Spencer","City of Spencer","","","N/A","","5/21/2020","N/A","4/8/2022","N/A","6/21/2022","7/20/2022","8/15/2024",""," Currently in Construction. Final inspection scheduled for 10/7. Final inspection was held on 10/7/24. Pictures on PW. Report complete. ","No","Osayaba"
"2016","Cheat River Rail Trail","2017000177","U339-CHE/AT-1. 00","NRT-2016-345-D","RT","4","Preston","$150,000.00","$0.00","N/A","N/A","N/A","","","N/A","8/20/21","4/1/2022","4/12/2023","8/27/2021","8/27/2021","09/09/2021","9/17/2021","4/12/2023","99%"," Purchasing stone and bridge material to use the remaining funds to repair some bridges on the rail trail. Invoice #4 recieved 10/4.  ","No","Osayaba"
"2016","North Bend Rail Trail Restoration","2022170009","U309-NBE/ND-2. 00","TAP-2016-369D","RT","4","Doddridge","$100,000.00","$55,435.45","N/A","OCC","District 4","","","","07/2021","06/17/2021","","06/29/2021","","UC3110G","10/21/2022","02/17/2023","85%"," Change in Scope to Material purchase, All materials purchased and NBRT volunteers will complete. Spoke with Sponsor 11/12/24 and they are preparing the Final Invoice. ","No","McClanahan"
"2016","Barboursville Pedestrian/Bicycle Path","2017000142","U306-BAR/BO-3. 00","TAP-2016(334)DTC","TA","2","Cabell","$100,000.00","$0.00","03/05/2018","OCC","E.L Robinson","3/23/2018","3/29/2017","6/5/2020","1/17/2020","N/A","N/A","7/29/2021","4/15/2022","03/07/2023","N/A","N/A",""," Design only.  May 9 let date.  Issue with retaining wall. Construction has started 2-3 weeksa ago. Site vist on 9/17. Progress pictures on PW. ","No","Osayaba"
"2016","RIC - Clay Streetscape","2017000092","U308-CLA/Y-6. 00","TAP-2016(307)DTC
TAP-2016(308)D ","TA","1","Clay","$250,000.00","$0.00","1/25/2018","OCC","Martin","","3/28/2018","N/A","11/29/2018","N/A","N/A","7/21/2020","N/A","08/28/2023","N/A","N/A","95%"," Design at 95%.  Awaiting final plan revisions.  May be incorporated into separate DOH project.   ","No","Osayaba"
"2017","Thomas Riverfront Trails Connector Ridge","2016000673","U347 -THO/RV-1. 00"," NRT-2015(247)DTC
 TAP-2019(215)D  ","TA","8","Tucker","$260,000.00","$0.00","09/18/2016","OCC","RK&K","5/15/2018","10/16/2016","2/27/2020","3/12/2020","","","10/14/2020","","05/01/2024 E","N/A","N/A","99%"," Design complete. R/W issue and matching funds. Project on hold. Project will reopen. Jeff from RKK will send PMD within a week from today 7/10/26. ","No","Osayaba"
"2018","Glendale Park Nature Trail Equipment ","2019000727","U342-GLE/ND-1. 00","NRT-2018-242-D
NRT-2018-243-D","RT","8","Randolph","$67,746.25","$0.00","N/A","N/A","N/A","","10/24/2019","","","","","07/07/2021","","UC3088G","06/03/2022","","95%"," Construction is Complete awaiting Final Invoice and Final Site visit scheduled for 11/21/24    ","No","McClanahan"
"2018","Marlinton Ranger District Connections","2019000749","U338-MAR/LI-6. 00","NRT-2018-256-D
NRT-2018-257-D","RT","8","Pocahontas","$20,000.00","$0.00","N/A","N/A","N/A","","","","","","","","","","","","10%"," Waiting on USFS to perform NEPA clearance in Spring 2025.  USFS has Agreement. ","No","McClanahan"
"2019","Thomas Riverfront Connector Bridge","2016000673","U347-THO/RV- 1.00","NRT-2019(215)D","TA","8","Tucker","$392,000.00","$0.00","9/18/2016","OCC","RK&K","5/15/2018","10/16/2016","2/27/2020","3/12/2020","N/A","N/A","10/14/2020","N/A","05/01/2024 E","N/A","N/A","99%"," Design complete.  Potential 2023 construction.  R/W issue and matching funds.   ","No","Osayaba"
"2020","Oglebay Trail Maintenance & Repair","2021000851","U335-OGL/EB-1. 00"," NRT-2020(243)D ","RT","6","Ohio","$121,600.00","$0.00","N/A","N/A","Wheeling Park Commission","","","N/A","11/2/2023","N/A","N/A","10/16/2023","N/A","08/29/2022","9/16/2022","N/A","75%"," Recently fixed pipes, looking into Ped Bridge.  Project is moving forward according to plans.  Starting Spring 2024.  Project is 50% complete. Puchasing benches and signage as well as replacing culverts soon. 4 trails side benches being installed. Gravel within a month. Invoice coming soon Oct 2024. Invoice #2 recieved. Work was paused due to festival of lights. Work will resume in 2-3 weeks. Put gravel on trail and signage. Will not touch culverts. Will pick up in June. Flood damage done to trail will need to hire a contractor. Getting local estimates for a possible supplemental ","No","Osayaba"
"2020","Thomas Riverfront Connector Bridge","2016000673","U347-THO/RV-1. 00","NRT-2019(215)D","TA","8","Tucker","$88,000.00","$0.00","09/18/2016","OCC","RK&K","5/15/2018","10/16/2016","2/27/2020","3/12/2020","N/A","N/A","10/14/2020","N/A","05/01/2024 E","N/A","N/A","99%"," Design complete. R/W issue and matching funds. More likely for 2024. Informed by Mgt to let H proceed.   ","No","Osayaba"
"2021","Hawks Nest Trail Trestle Improvements","2022100006","U310-HAW/KS-1. 00"," NRT-2021(464)D ","RT","9","Fayette","$48,000.00","$0.00","5/17/2023","5G","E.L Robinson","05/23/2023","11/01/2022","N/A","10/05/2023","12/21/2023","","12/02/2022","","9/147/2025","","","80%"," NTP issued May 2023.  Design complete approx end of 2023.  PFR 10/5/23. Sponsor received construction award. Waiting on percon. Precon was held 1/21/2025. Under construction estiamted completion date of Oct. 2026 ","No","McClanahan"
"2021","Babcock State Park Narrow Gauge Rec Trail Phase 3","2022100003"," U310-TRA/IL- 22. 00 "," TAP-2022(053)D ","TA","9","Fayette","$280,000.00","$0.00","03/07/2023","OCC","Terradon","","","N/A","","N/A","N/A","6/21/2022","N/A","11/28/2023","N/A","N/A","99%"," 30% of plans received.  Site visit 7/16 to finalize bridge selection. Bridge design underway. The bridge design was agreed upon. 60% by Feb. rec'd 90% FFR tentatively scheduled for 3/19/25. FFR was held on 3/25/2025. D9 had comments for review. PSE recieved 4/15/2025. Final invoice recieved. ","No","Osayaba"
"2021","Barboursville Pedestrian Bike Path","2017000142","U306-BAR/BO-3. 00","TAP-2021(450)D","TA","2","Cabell","$746,932.00","$200,884.88","11/18/2022","OCC","E.L Robinson","03/05/2018","3/29/2017","","3/16/2020","N/A","N/A","7/29/2021","1/31/2023","03/07/2023","N/A","N/A","100%"," Submitted a CO due to a slip and drilling needed.  Moving forward with geo tech findings. 2-3 weeks out on the work then back to drawing board to close and move foward. Final inspection done on 1/17/2025 ","No","Osayaba"
"2021","Rich Creek Road Sidewalk Improvements","2022100004"," U310-ANS/TE-1. 00 "," TAP-2020(434)D ","TA","9","Fayette","$40,000.00","$0.00","4/12/2023","5G","E.L Robinson","4/22/2023","9/29/2022","N/A","10/10/2023","1/19/2024","2/22/2024","2/23/2023","N/A","N/A","N/A","N/A","95%"," 5G Consultant.  Began invoicing.  Still moving forward with project.  90% submitted.  FFR held February 2024. Plans complete, Awaiting 2024 awards for construction funding. Needs construction funds for Phase 1. ","No","Osayaba"
"2022","North Bend Rail Trail Surveying and Ditching","2023540017","U354-NOR/TH-2.0 00"," NRT-2025(033)D ","RT","3","Wood","$200,000.00","$0.00","N/A","WVDOH","Cenforce","","05/12/2023","N/A","","N/A","N/A","6/29/2021","N/A","N/A","N/A","N/A","20%"," Scoped in May 2023.  Finalizing project scope to focus on 1 construction project.  Sponsor continues to discuss whether to move forward or withdraw award. Trying to contact the sponsor. Working with Cenforce on the construction. Waiting on rough drawing if possible, from Cenforc. Sent draft agreement to Travis for review for approval to combined funding from another grant award. Deciding on who will be putting plans together. Kmz file was sent. Agreement sent to sponsor.  Adjusted dates to reflect the project schedule. (Osayaba). Waiting on simple set of plans from Cenforce. Awaitng cost comparison from Cenforce. Agreement is with sponsor. ","No","McClanahan"
"2022","Fox Branch Creek Trestle Improvements","2023100022","U310-FOX/BR-1. 00"," NRT-2022(130)D ","RT","9","Fayette","$48,000.00","$0.00","N/A","5G","New River Engineers ","2/27/2025","9/15/2023","N/A","","N/A","N/A","10/26/2023","N/A","6/28/2023","N/A","N/A","15%"," Spoke w/ Sponsor 6/27/23, received 3 interested firms.  July 6 is the committee meeting.  Then Town will select a consultant. Scoping 9/15/23.  5G letter in circulation. Moving forward in 2024.  Applying for construction money.  Check on IE completion.  Project design starting in spring 2025.  Waiting on the scope and fee proposal from NRE. Needs construction funding. agreement in circulation Agr. sent to sponsor 12/16. Received signed agreement from sponsor. Sent to Chassities for execution. NTP sent to sponsor 3/4/2025 30% plans recieved 3/25/2025. 30% in review. Rec'vd invoice 1 6/26 PFR held 7/15/2025 Invoince sent and paid. Waitng for next invoice. 30% drawings recieved 2/13/2026. Revised 30% recieved 6/22/2026. Meeting to discuss next steps set for 8/13/2026. ","No","Osayaba"
"2022","Greenbrier River Trail Bridges Redecking","","U313-GRE/TR-1. 00","TAP-2022(131)D","TA","9","Greenbrier","$611,953.00","$0.00","11/07/2023","OCC","Turman","11/01/2023","4/26/2023","3/4/2024","3/4/2021","10/21/2024","11/12/2024","6/21/2023","N/A","10/28/2024 E","N/A","N/A","99%"," Design should be near completion in the Summer 2024.  Plans are still underway. 90% plans by Oct. 21. Estimated FFR 11/7. The sponsor is talking to the board if they want to move forward with removing a bridge or finish design as scoped. NEPA is in progress. Caldwell /Trail Parking Lot funding awarded 2022 150K if needed.  Turman submitted 90% on 10/24. FFR 11/18. Awaiting agreement and a check from the sponsor. Docs sent for execution. Maggie/sponsor said to move on w/o skid treatment in the plans. Eagle reveiw complete. Uploaded docs to HUB for CA. Receiving full PSE by first week in May. Waiting to go to CA. Let date scheduled for Nov. Awarded to SPQ precon scheduled for 12/17/25. Project should start mid Jan. Under construction. More funding being authorized to complete project.  ","No","Osayaba"
